Marca,Modelo,Motor,Referencia_OEM,Potencia_kW_CV,Año_Rango,Filtro_Aire,Filtro_Aceite,Filtro_Combustible,Cod_Filtro_Habitaculo,Tipo_Filtro_Habitaculo
BMW,GENERAL,3.0 CSL (G82),,412 (560),11/22-02/23,C 26 047 / C 28 053 / C 28 054 / C 28 054 / C 28 054,HU 6032 z / HU 6014/1 z / HU 6014/1 z / HU 6014/1 z / HU 6014/1 z / HU 6014/1 z / HU 6022 z / HU 6022 z / HU 6022 z / HU 6022 z,WK 5017 / WK 5017 / WK 5017 / WK 5017,CU 25 001 / CUK 25 001 / FP 25 001 / CU 30 007 / CUK 30 007 / FP 30 007 / FP 30 007/1,Partículas / Carbón Activo / Biofuncional / Partículas / Carbón Activo / Biofuncional / Biofuncional
BMW,X5 (E70),5.0 M (E70),N57D30C,408 (555),10/09-07/13,C 20 028 / C 20 027 / C 37 009 / C 36 014 / C 34 120 / C 37 009 / C 49 001 / C 37 009 / C 37 009 / C 28 125,HU 8007 z / HU 8007 z / HU 721/5 x / H 50 004 / HU 6004 x / HU 6014/1 z / HU 6004 x / HU 816 x / HU 6004 x / HU 6004 x / HU 816 x,WK 5002 / WK 5002 / WK 5002 / WK 5002 / WK 5002 / WK 5002,CU 2941-2 / CUK 2941-2 / FP 2941-2,Partículas / Carbón Activo / Biofuncional
BMW,X5 (E70),4.4 M (F85),S63B44B,423 (575),12/14-07/18,C 37 009 / C 49 001 / C 49 001 / C 37 009 / C 28 037 / C 28 091 / C 28 092 / C 28 091 / C 28 092 / C 28 037 / C 28 037 / C 28 037 / C 28 037 / C 28 037 / C 28 037 / C 28 037,HU 8007 z / HU 6004 x / HU 816 x / HU 816 x / HU 8007 z / HU 721/5 x / HU 6022 z / HU 6022 z / HU 6022 z / HU 8007 z / HU 8007 z / HU 6022 z / HU 6022 z / HU 6022 z / HU 6022 z / HU 6022 z / HU 6022 z / HU 6022 z / HU 8007 z,WK 5002 / WK 5002 / WK 6030 / WK 6030 / WK 6030 / WK 5017 / WK 5017,CUK 23 014-2 CA / FP 23 014-2,Carbón Activo / Biofuncional
BMW,ActiveHybrid (E72),4.4 M (F86),S63B44B,423 (575),12/14-07/19,C 37 009 / C 37 009,HU 8007 z / HU 6004 x / HU 8007 z / HU 721/5 x,WK 5002 / WK 5002,CU 2941-2 / CUK 2941-2 / FP 2941-2,Partículas / Carbón Activo / Biofuncional
FORD,Transit Connect III,1.5 EcoBoost,DPBC,84 (114),05/22 ©,C 28 043,,W 712/95,CU 26 009,Partículas
FORD,Transit Connect III,2.0 EcoBlue,DTRF,,05/22 ©,C 30 005 / C 30 004,HU 5003 z,PU 8014 / PU 8028,CU 26 009,Partículas
FORD,Transit Connect III,2.0 EcoBlue,DTRE,75 (102),05/22 ©,C 30 005 / C 30 004,HU 5003 z,PU 8014 / PU 8028,CU 26 009,Partículas
FORD,Transit Connect III,2.0 EcoBlue,DTRC,90 (122),05/22 ©,C 30 005 / C 30 004,HU 5003 z,PU 8014 / PU 8028,CU 26 009,Partículas
FORD,Bantam,1.0 EcoBoost,,74 (100),09/12 ©,C 17 006,,W 7015,CU 3554 / CU 2436 / CUK 2436 / FP 2436,Partículas / Partículas / Carbón Activo / Biofuncional
FORD,Bantam,1.0 EcoBoost,,88 (120),09/12 ©,C 17 006,,W 7015,CU 3554 / CU 2436 / CUK 2436 / FP 2436,Partículas / Partículas / Carbón Activo / Biofuncional
FORD,Bantam,1.0 EcoBoost,,103 (140),02/16 ©,C 17 006,,W 7015,CU 3554 / CU 2436 / CUK 2436 / FP 2436,Partículas / Partículas / Carbón Activo / Biofuncional
FORD,Bantam,1.4 Duratec,,,,,,,CU 3554 / CU 2436 / CUK 2436 / FP 2436,Partículas / Partículas / Carbón Activo / Biofuncional
FORD,Zetec,1.4 LPG,RTJC,,09/12 ©,C 17 006,,W 7008,,
FORD,Zetec,1.5 TDCi,15DSOX,,09/12 ©,C 17 006,HU 716/2 x,PU 7011 z / WK 9046,,
FORD,Zetec,1.5 TDCi,15DSOX,,04/15 ©,C 17 006,HU 716/2 x,PU 7011 z,,
FORD,GENERAL,1.6 TDCi,,,09/12 ©,C 17 006,HU 716/2 x,WK 9046,CU 2559 / CUK 2559 / FP 2559,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi,,,,,,,CU 25 007 / CUK 25 007 / FP 25 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.3 S,"A9JA, A9JB",,10/03-07/05,C 2244,,W 719/27 / WK 511/2,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.3 S,"A9JA, A9JB",,09/02-06/08,C 2244 / C 2244,,W 719/27 / WK 511/2 / W 7008 / WK 511/2,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.4 TDCi,F6JA,74 (100),03/02-12/10,C 3087/2 / C 2244,HU 716/2 x,WK 939 / WK 9015 x / WK 511/2 / W 719/27 / W 7008,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.6 TDCi,HHJC,110 (150),11/04-12/12,C 2050 / C 1925 / C 17 006 / C 17 006,HU 716/2 x,"WK 939/2 z / WK 939/13 / W 7015 / WK 511/2 / W 7015 / P4JA, P4JB, P4JC, P4JD / W 7015",CU 2436 / CUK 2436 / FP 2436,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.0 EcoBoost,,74 (100),11/12 ©,C 17 006,,W 7015,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.0 EcoBoost,,92 (125),11/12 ©,C 17 006,,W 7015,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.0 EcoBoost Sport,"STJA, STJB",103 (140),05/14 ©,C 17 006 / C 17 006 / C 17 006 / C 17 006,,W 7015 / W 7008 / W 7008 / W 7008,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.4 LPG,"RTJA, RTJB, RTJD",,01/09-04/17,C 17 006,,W 7008,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.4 TDCi,"F6JB, F6JD",,08/08-09/12,C 3087/2,HU 716/2 x,WK 939 / WK 9015 x,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.4 TDCi,"F6JD, KVJA",,07/10-09/12,C 17 006,HU 716/2 x,WK 9046,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.5 TDCi,15DSOX,,11/12 ©,C 17 006,HU 716/2 x,PU 7011 z / WK 9046,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.5 TDCi,15DSOX,,05/15 ©,C 17 006,HU 716/2 x,PU 7011 z,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
